,index,state_code,alimentary_poverty,extreme_poverty,median_income,lack_basic_services,lack_health_services,state_name,year
94,30,31,0.22893830695650388,0.21370449056113197,10739.015660590188,0.34605177179766133,0.24737429097303473,YUCATAN,2020
95,31,32,0.16439698029828761,0.17010495304732093,10541.564750283984,0.07331369299699257,0.2380470140551157,ZACATECAS,2020
96,0,1,0.1516664397751213,0.060726286576152665,19336.848172944843,0.024657944146939458,0.26193977444733935,AGUASCALIENTES,2022
97,1,2,0.08835567067626877,0.02808840747499722,23925.98006119478,0.04052085382853937,0.28410902454818393,BAJA CALIFORNIA,2022
98,2,3,0.13674412192220245,0.02849336038384148,23426.76683965531,0.09927869273308779,0.17336689688122853,BAJA CALIFORNIA SUR,2022
99,3,4,0.20040440681389712,0.15909789085645032,13509.914424652588,0.3487104009561002,0.34569628669539454,CAMPECHE,2022
100,4,5,0.12580519209124472,0.059013507551788316,20150.061671819454,0.03381012437017511,0.19677330459022124,COAHUILA,2022
101,5,6,0.13282390682500123,0.044151017772441174,19412.982688563436,0.04783041248947731,0.21928982849970305,COLIMA,2022
102,6,7,0.1721687773369506,0.3664177200127627,8902.818237571495,0.5083104680798487,0.6606620293814851,CHIAPAS,2022
103,7,8,0.09342196495356557,0.05324830861032903,20571.760571698163,0.047382285582216244,0.21491443249149053,CHIHUAHUA,2022
104,8,9,0.09712602782156479,0.058774407118097255,18935.53069527815,0.03389636143078587,0.2874592307879975,DISTRITO FEDERAL,2022
105,9,10,0.19821082406507962,0.13265513537570128,15875.378854878283,0.09694222515116632,0.3019421609616446,DURANGO,2022
106,10,11,0.1723383010712332,0.08380759794043366,16342.379755783197,0.09356826781881399,0.331530952595629,GUANAJUATO,2022
107,11,12,0.28448860007220417,0.27222361076397567,10358.123917311555,0.5391688189063845,0.5273945402538255,GUERRERO,2022
108,12,13,0.15172891083526807,0.1200216014873986,14044.484846727402,0.24462354182041626,0.5040859118393255,HIDALGO,2022
109,13,14,0.13222657727265938,0.04731485673679878,19938.39992836909,0.04152334935569995,0.3713067303938331,JALISCO,2022
110,14,15,0.16989638578990934,0.12117861661876357,14343.601041470478,0.0946122100118012,0.44154365886333613,MEXICO,2022
111,15,16,0.209462317819337,0.12926145301059494,14650.620779337389,0.21785710889739818,0.5121393081327751,MICHOACAN,2022
112,16,17,0.17630850979687934,0.11645773256800163,14327.97320355015,0.17431060279246857,0.4643550186715005,MORELOS,2022
113,17,18,0.16629237167255184,0.10133145472641862,16571.91092657577,0.14386874686986897,0.3408855338814893,NAYARIT,2022
114,18,19,0.10952650024786026,0.038118480668633374,21996.493979896717,0.038075065918612365,0.22833896982245677,NUEVO LEON,2022
115,19,20,0.23103975430829912,0.24860943099791782,10426.689521578115,0.5517044132315296,0.6570874135475386,OAXACA,2022
116,20,21,0.191267233254656,0.19126842473367464,12790.341915589846,0.27078088343403317,0.48283153201563694,PUEBLA,2022
117,21,22,0.11366195822896366,0.04604980569966506,19560.323135190218,0.07811895778892401,0.30431469178839143,QUERETARO,2022
118,22,23,0.12708258031068084,0.07065451816199363,18550.111915834532,0.22483772712073685,0.3236586547664313,QUINTANA ROO,2022
119,23,24,0.13189751330937205,0.134115509892035,15263.53473757894,0.2392585046991866,0.3455044053568917,SAN LUIS POTOSI,2022
120,24,25,0.17112482686638603,0.044766191494439805,19447.847489747524,0.0968074760689432,0.26575123229681474,SINALOA,2022
121,25,26,0.19226717952412592,0.05587431256554142,19434.418784612528,0.09191642451362594,0.24428905735091244,SONORA,2022
122,26,27,0.34375125395841405,0.15880907321315532,12770.653008955269,0.4394132334479537,0.4480003406672328,TABASCO,2022
123,27,28,0.12155297016997837,0.08034312787069617,17753.121595271594,0.06811423737116612,0.27947717139088896,TAMAULIPAS,2022
124,28,29,0.18736784656849798,0.16931545069701132,12681.744221783578,0.08060830343084537,0.45230875419352295,TLAXCALA,2022
125,29,30,0.19849950542521,0.18759777541283224,10919.250247867463,0.373541686877851,0.492190642128217,VERACRUZ,2022
126,30,31,0.1356996375921557,0.10191830507231935,15886.735606289343,0.3476085759322595,0.3512726831453175,YUCATAN,2022
127,31,32,0.1572421735050755,0.16334616931307197,13214.419809266035,0.07351116852097829,0.3672097585942165,ZACATECAS,2022
